K1,K2,K3,D1,D2,D3,,,,Additional,City,State,,Start Time,Time Zone,,,,Facebook Page,Date
sb,EG,ykh,,,,Confirm,Clive: Meet and Greet for Cindy Axne for Congress,"Join Cindy Axne Candidate for U.S. Congress in Iowa’s 3rd District for a Meet and Greet hosted by Les Watts.

Cindy is a fifth-generation Iowan that grew up in Des Moines and graduated from the University of Iowa. After spending time in Illinois, where she earned an MBA from Northwestern University, Cindy, her husband, and their two kids moved to West Des Moines in 2005. From 2005-2014, Cindy worked for the State of Iowa, helping agencies more efficiently and effectively deliver services to taxpayers. Simultaneously, she became an activist on issues like universal kindergarten for kids in West Des Moines. She now runs a digital design firm with her husband.

RSVP to Joe Diver
Joe@CindyAxneforCongress.com",,,,"13138 Cedar Crest Ln, Clive, IA 50325, USA - ",17:30:00,5,2018-08-06T17:30:00-0500,https://www.facebook.com/events/622648071444928/,Clive: Meet and Greet for Cindy Axne for Congress,https://www.facebook.com/CindyAxneForCongress/,8/6/2018
sb,ykh,EG,,,,Confirm,Cold Ones With Courtney!,"Have you been hoping to meet Courtney? Want to learn more about her platform or support her campaign? 

Then stop in from 5:30-7:30 pm on August 6th at 2725 Broadway in Fort Wayne (Trubble Brewing) for “Cold Ones With Courtney!”

You can order a beer, mingle with fellow supporters, and learn more about the campaign’s plans to #FlipThe3rd! There are three levels of suggested giving for this event: ale, porter, or stout! ;) 

$25 (ALE be voting for Courtney!) - suggested minimum donation 
$50 (I absolutely supPORTER!) - entitles you to a free beer
$75 (no STOUT about it; we’re flipping the 3rd!) - entitles you to a free beer flight 
Tickets: https://secure.actblue.com/donate/coldones

Notes:
* This is a 21-and-over venue; however, the patio (weather permitting) is open to all ages.
* Parking is available in the lot between the Mad Anthony corporate office and the Java Bean coffee shop, or in the parking lot that is accessible from the building’s north side. Please do not park in the lot south of the brewery. 
* Although you will have plenty of beers to choose from, the brewery's kitchen will not be open for this event.",,,,-,17:30:00,4,2018-08-06T17:30:00-0400,https://www.facebook.com/events/622829238093558/,Cold Ones With Courtney!,https://www.facebook.com/CourtneyTritchForCongress/,8/6/2018
sb,ykh,EG,,,,Confirm,"Grand Opening of Dayna Steele HQ in Newton, TX!","Join us to celebrate the opening of our newest campaign HQ in Newton, Texas!  Chat with Dayna, staff members, volunteers and your neighbors!  Bring your family and friends; light bites and beverages will be provided.",,,,"405 Rusk St, Newton, TX 75966-3625, United States - ",17:30:00,5,2018-08-06T17:30:00-0500,https://www.facebook.com/events/250792352312252/,"Grand Opening of Dayna Steele HQ in Newton, TX!",https://www.facebook.com/daynasteele36/,8/6/2018
sb,ykh,EG,,,,Confirm,Wayzata — Meet Dean!,"Carolyn and Pat Jones with Mary Jo and Matthew Bonner invite you to a meet and greet with Congressional Candidate Dean Phillips in Wayzata!

Hear Dean's story, his values, and how he will work to represent you in Congress — just as important, come share your story with Dean. What do you value? What are your hopes and dreams for our community and our nation? Come to this event and meet Dean, because #EveryonesInvited!",,,,"Wayzata Yacht Club - Wayzata, MN",19:00:00,5,2018-08-06T19:00:00-0500,https://www.facebook.com/events/227458324621213/,Wayzata — Meet Dean!,https://www.facebook.com/deanphillipsforcongress/,8/6/2018
sb,ykh,EG,,,,Confirm,Joe Cunningham Brewery Tour - Stop 4 - West Ashley,Stop 4 on Joe Cunningham's tour of every craft brewery in SC-1 will be Monday at Frothy Beard Brewing Co in West Ashley. Stop by for a chance to meet Joe and support one of our district's small businesses.,,,,"Frothy Beard Brewing Company - Charleston, SC",18:00:00,4,2018-08-06T18:00:00-0400,https://www.facebook.com/events/234096370549893/,Joe Cunningham Brewery Tour - Stop 4 - West Ashley,https://www.facebook.com/JoeCunninghamSC/,8/6/2018
sb,ykh,EG,,,,Confirm,Joe Radinovich Event in Hackensack,"Join us for happy hour to hear from and support Joe Radinovich for Congress. 

Who: All are welcome 
When: Monday, August 6th, 5:00-7:00pm 
Where: The home of Myles Wagner. 4074 Hawk Trl NW, Hackensack
Why: To hear about the 8th Congressional District Race!",,,,"4074 Hawk Trl NW, Hackensack, MN 56452-2254, United States - ",17:00:00,5,2018-08-06T17:00:00-0500,https://www.facebook.com/events/1071442316340730/,Joe Radinovich Event in Hackensack,https://www.facebook.com/votejoeradinovich/,8/6/2018
sb,ykh,EG,,,,Confirm,"POC GOTV Rally with Sen Cantwell, Rep Jayapal and Rep Smith","Join us at a GOTV Rally at El Centro de la Raza! We are organizing for our communities of color and immigrant communities to help raise awareness about our values and to show that we vote! 
 
 Community leaders including Estela Ortega and Diane Narasaki will be there with us, and we hope you will too.
 
 Please invite your family, friends, neighbors, and colleagues to show that we have a powerful and united voice and help us have a strong showing the day before the Primary! Join us!
 
 --Sen. Cantwell
 --Rep. Jayapal
 --Rep. Smith
 
 Location:
 El Centro de la Raza
 Roberto Maestas Plaza
 1660 S. Roberto Maestas Festival Street","Sen. Cantwell
Rep. Jayapal
Rep. Smith",,,Roberto Maestas Plaza - 1660 S. Roberto Maestas Festival Street -,12:00:00,7,2018-08-06T12:00:00-0700,https://www.facebook.com/events/300608137353506/,"POC GOTV Rally with Sen Cantwell, Rep Jayapal and Rep Smith",https://www.facebook.com/pramila.jayapal/,8/6/2018
sb,,,,,,,MN CD5 DFL Primary Candidate Forum,"Join the DFL candidates for Minnesota’s 5th Congressional District seat to hear about issues of importance to the community and to the district.
 
 Confirmed participants as of July 9, 2018 include all of the DFL candidates for CD5: State Rep. Ilhan Omar, Fmr. Speaker Margaret Anderson Kelliher, State Sen. Patricia Torres Ray, Frank Drake, and Jamal Abdulahi.
 
 The forum is free and open to the public and to the media. Registration via the Eventbrite link is preferred.
 
 **Doors open at 6:15pm.**
 Please note the following important information:
 · ASL interpretation will be available. Please ask an usher for priority seating for this accommodation;
 · For safety and security purposes, all bags will be subject to search. If possible, please leave them in your car;
 · T-shirts, stickers, or buttons worn on clothing are allowed;
 · No signs or posters will be allowed inside the synagogue;
 · Heckling, outbursts, or other disruptive behavior will not be permitted.
 
 We kindly ask all guests to please respect the sanctity of the synagogue by following these guidelines. If you have any questions or need accommodations in order to attend the forum, please contact Sami Rahamim at sami@minndakjcrc.org. Our goal is to be inclusive and welcoming to all.
 
 Thank you.",,,,Beth El Synagogue -,19:00:00,5,2018-08-06T19:00:00-0500,https://www.facebook.com/events/198000204239437/,MN CD5 DFL Primary Candidate Forum,https://www.facebook.com/MAKforCongress/,8/6/2018
sb,EG,ykh,,,,Confirm,Meet & Greet with the Candidate (Anita Malik),"Join us at the home of Chrissy & Lovell Robinson for a Meet & Greet with Democratic Congressional Candidate Anita Malik (CD6). 

This event is open to the public, but please RSVP here or by emailing chels@anitaforarizona.com. 

This is a FREE event. Campaign contributions of any amount are suggested.",,Scottsdate,AZ,"10865 E Mirasol Cir, Scottsdale, AZ 85255-9061, United States - ",17:00:00,7,2018-08-07T17:00:00-0700,https://www.facebook.com/events/1920163084744382/,Meet & Greet with the Candidate (Anita Malik),https://www.facebook.com/anitaforarizona/,8/7/2018
sb,EG,ykh,,,,Confirm,Cathy Myers Meet & Greet in Racine!,"Join us at the Branch at 1501 on Tuesday, August 7th, for a Meet & Greet with Cathy Myers to learn about her campaign to represent Wisconsin's 1st District and replace Paul Ryan in Congress!

Cathy is a 24-year school teacher and mother of two serving in her second term on the Janesville School Board! She has spent her life fighting for women's rights, LGBT rights, and higher wages for working people.

Find out more about Cathy, sign up to volunteer, or make a contribution at www.cathymyersforcongress.com

Paid for by Cathy for Congress.
Contributions are not tax deductible.",,,,"The Branch at 1501 - Racine, WI",18:00:00,5,2018-08-07T18:00:00-0500,https://www.facebook.com/events/295737514331062/,Cathy Myers Meet & Greet in Racine!,https://www.facebook.com/cathymyersforcongress/,8/7/2018
sb,EG,ykh,,,,Confirm,St. Pete Rally to #ProtectOurCare with Crist & Kennedy,"On Tuesday, August 7th, Congressman Charlie Crist will be joined by special guest Congressman Joe Kennedy III for a rally to #ProtectOurCare starting at 12pm in Williams Park.

The Congressmen will be joined by local residents and healthcare advocates to call on elected officials to protect the Affordable Care Act and Floridians' access to affordable healthcare -- fighting attempts to undermine protections for those with pre-existing conditions, holding ""Big Pharma"" accountable for rising prescription drug prices, and calling on Florida to expand Medicaid.",,,,"350 2nd Ave N, St Petersburg, FL 33701, United States - ",12:00:00,4,2018-08-07T12:00:00-0400,https://www.facebook.com/events/440273303159123/,St. Pete Rally to #ProtectOurCare with Crist & Kennedy,https://www.facebook.com/charliecrist/,8/7/2018
sb,ykh,EG,,,,Confirm,Town Hall Meeting,"The next in our series of Town Hall Meetings has been rescheduled for 7-8 PM, Tuesday, August 7th, at the Horsham VFW. We'd love to see you there if you can make it, so please RSVP via the ""Get Tickets"" button.",,,,"VFW Post 9788 - Horsham, PA",19:00:00,4,2018-08-07T19:00:00-0400,https://www.facebook.com/events/235726783725398/,Town Hall Meeting,https://www.facebook.com/DanDavidForCongress/,8/7/2018
sb,ykh,EG,,,,Confirm,Join Dan at the Farmfest Forum,"Come support Dan at the first Congressional forum of the general election at Farmfest! Dan will share his platform on how we support our farmers and ag communities all across southern Minnesota. 

The forum begins at 1:15 PM at the Wicks Building at Farmfest on Tuesday August 7th!",,,,"Gilfillan Estate - Morgan, MN",13:15:00,5,2018-08-07T13:15:00-0500,https://www.facebook.com/events/275790579670766/,Join Dan at the Farmfest Forum,https://www.facebook.com/danfeehanforcongress/,8/7/2018
sb,ykh,EG,,,,Confirm,National Night Out at the Conversation Cottage! — Excelsior,"Everyone's invited to Dean's National Night Out celebration at the Conversation Cottage in Excelsior!

We'll be grilling out back, having great conversations, and getting energized for the weeks leading up to election day. Stop by, meet Dean, hear his story, his values, and how he will work to represent you in Congress — just as important, come share your story with Dean. What do you value? What are your hopes and dreams for our community and our nation?

Come by, we'd love to see you, and remember: #everyonesinvited!",,,,"Dean Phillips for Congress - Excelsior, MN",17:00:00,5,2018-08-07T17:00:00-0500,https://www.facebook.com/events/237872120182919/,National Night Out at the Conversation Cottage! — Excelsior,https://www.facebook.com/deanphillipsforcongress/,8/7/2018
sb,ykh,EG,,,,Confirm,Pearsall Meet & Greet with Gina Ortiz Jones,"Join Gina Ortiz Jones at a Meet & Greet in Pearsall at Garcia's Bar and Grill (205 S. Oak Street) on Tuesday, August 7th, to learn more about what she is doing to fight for change and win in the upcoming November Election. You’ll have fun meeting people in your community and learning about more ways to get involved!

For more information contact Field Organizer Kristian Carranza Thompson at 210.551.1313 or kristian@ginaortizjones.com",,,,Garcia's Bar & Grill -,18:30:00,5,2018-08-07T18:30:00-0500,https://www.facebook.com/events/450218462159192/,Pearsall Meet & Greet with Gina Ortiz Jones,https://www.facebook.com/GinaOrtizJones/,8/7/2018
sb,ykh,EG,,,,Confirm,Lander Meet & Greet,"Come meet Mark at the Coalter Loft in Lander on August 7 at 5:00 pm! Chat with him about his ideas, and YOURS, for the future of Wyoming. This event is open to the public.",,,,"Coalter Loft - Lander, WY",17:00:00,6,2018-08-07T17:00:00-0600,https://www.facebook.com/events/1021112984731799/,Lander Meet & Greet,https://www.facebook.com/markgordon4wyoming/,8/7/2018
sb,ykh,EG,,,,Confirm,Town Hall with Mike Siegel: Action Before the Storm,"Join Mike Siegel and an expert panel at a town hall for constituents and concerned members of the community to discuss severe flood events affecting the region, the structural causes of these events, and long-term solutions. 

Now more than ever, we must implement equitable solutions for working people, and hold accountable politicians who failed to protect our families and neighbors. After the panel discussion, we will hear from effected community members in a moderated open-mic about their experiences. There will be FREE food and drink, and the event is family-friendly!!! 

Our  panel will include: Mike Siegel (Democratic Nominee, TX10), Lupe Valdez (Democratic Nominee, Governor of TX), State Sen. Sylvia Garcia (Democratic Nominee, TX29), Gina Calanni (Democratic Nominee, HD132), Penny Shaw (Democratic Nominee, Harris Co. Commissioners Court, Pct.4), and more! 

Please share this event and invite your friends and family to attend! 

We hope y'all will join us on August 7th!",,,,"Noah's Event Venue 21402 Merchants Way, Katy, TX 77449-2500, United States - ",18:30:00,5,2018-08-07T18:30:00-0500,https://www.facebook.com/events/218906168829381/,Town Hall with Mike Siegel: Action Before the Storm,https://www.facebook.com/siegelfortexas/,8/7/2018
sb,ykh,EG,,,,Confirm,Delaware Republican Debate (US Senate),9-12 Patriots Organized and will host this debate.,Gene Truono and Rob Arlett,,,"Dover Elks Lodge #1903 - Dover, DE",18:00:00,4,2018-08-07T18:00:00-0400,https://www.facebook.com/events/2095000717239986/,Delaware Republican Debate (US Senate),https://www.facebook.com/VoteTruono/,8/7/2018
sb,ykh,EG,,,,Confirm,Politics and Ice Cream with Kathleen,"Join Kathleen for an ice cream sundae social at Range Riders Cafe & Mama Stella's Pizza on August 7th. Don't miss your chance to meet Kathleen in person, hear her speak, and ask her questions! This event is free and open to the public. 
 
 Feel free to share this event and invite others. Hope to see you there!
 
 If you are unable to attend but would like to donate please click the link below.
 
 https://act.myngp.com/Forms/8673449163274193664",,,,"605 Main St, Miles City, MT 59301-3119, United States -",18:00:00,6,2018-08-07T18:00:00-0600,https://www.facebook.com/events/208547813133515/,Politics and Ice Cream with Kathleen,https://www.facebook.com/Williamsformontana/,8/7/2018
sb,EG,ykh,SA,,,Confirm,House Concert to Support Alyse,"Please join us for an evening of fun, food and music at the home of Deena Mitchell! A great opportunity to meet your future congresswoman and express concerns you have for our beautiful state! Alyse is here to listen!

Live music by:
Front Country www.frontcountryband.com 
High Lonesome Sound www.facebook.com/highlonesomesound 
Tanana Rafters www.facebook.com/tananarafters

6-9 PM 
Wednesday, August 8
1820 Westchester Circle, Anchorage AK 

Co-Hosted by: Les Gara, Elizabeth Manning, Debby Burwen, Joni & Danny Bruner, Diana Lincke, Connie Sanders, Aaron Poe, Val Buckendorf, Celia Rozen, Andrea Cordano & Tom Plawman, Caroline Storm, Chris & Mimi Beck, Harriet Drummond & Elstun Lauesen, Meghan Cavanaugh, Suzanne LaFrance & David Hemstreet, Cat Coward & Tim Silbaugh, Lupe Marroquin, Alex Beck, Suzanne Little, Steve & Karen Compton, Adrienne Reed, Debby Burwen & Steve Fleischman, and Diane Moxness.",,Anchorage,AK,"1820 Westchester Cir, Anchorage, AK 99517-1330, United States - ",18:00:00,8,2018-08-08T18:00:00-0800,https://www.facebook.com/events/507801233011111/,House Concert to Support Alyse,https://www.facebook.com/alyse4alaska/,8/8/2018
sb,ykh,EG,,,,Confirm,"Senior Issues Town Hall with Andrew Janz & Jon ""Bowzer"" Bauman","Join us for a Senior Issues Town Hall with Congressional Candidate Andrew Janz and Social Security Works PAC President Jon ""Bowzer"" Bauman.
You may recognize Jon ""Bowzer"" from the popular music group & TV show Sha Na Na. Jon will be performing!",,Clovis,CA,"Clovis Veterans Memorial District - Clovis, CA",10:00:00,7,2018-08-08T10:00:00-0700,https://www.facebook.com/events/1972987989430339/,"Senior Issues Town Hall with Andrew Janz & Jon ""Bowzer"" Bauman",https://www.facebook.com/andrewjanzforcongress/,8/8/2018
sb,ykh,EG,,,,Confirm,For the People Portales Meet & Greet,Join Congressman Ben Ray Luján and Curry and Roosevelt County Democrats and help win in November!,,Portales,NM,"400 N. Main St. Portales, NM - ",18:00:00,5,2018-08-08T18:00:00-0500,https://www.facebook.com/events/233841450598262/,For the People Portales Meet & Greet,https://www.facebook.com/BenRLujan/,8/8/2018
sb,EG,ykh,,,,Confirm,Christian Co. Town Hall with Betsy!,"Government on all levels should work for you. Come to Betsy Dirksen Londrigan's town hall in Taylorville at 6pm on Wednesday, August 8 to hear from Betsy and local elected officials about how your government can and should work for the people. Join us by RSVPing at the link! #BDLIRL",,Taylorville,IL,"Rene's Drug Store - Taylorville, IL",18:00:00,5,2018-08-08T18:00:00-0500,https://www.facebook.com/events/644422999254310/,Christian Co. Town Hall with Betsy!,https://www.facebook.com/BetsyDirksenLondrigan/,8/8/2018
sb,ykh,EG,,,,Confirm,Niobrara County Farm Bureau Federation Forum,Thank you to the Niobrara County Farm Bureau Federation for hosting this event.,,,,"Niobrara High School, Lusk, WY - ",18:00:00,6,2018-08-08T18:00:00-0600,https://www.facebook.com/events/1352565418210709/,Niobrara County Farm Bureau Federation Forum,https://www.facebook.com/harriethageman/,8/8/2018
sb,ykh,EG,,,,Confirm,Bolton Meet and Greet with Lori Trahan with Annelisa Addante,"Join us at the Bolton Public Library in Bolton, Massachusetts to meet Lori Trahan, Democrat for Congress. Lori has lived in this district her entire life and is ready to fight for us, because she's one of us. Let's send our local candidate to Congress!

Call the office at 978-453-3200 to RSVP!",,,,"Bolton Public Library - Bolton, MA",19:00:00,4,2018-08-08T19:00:00-0400,https://www.facebook.com/events/1984583671572751/,Bolton Meet and Greet with Lori Trahan with Annelisa Addante,https://www.facebook.com/loriforuscongress/,8/8/2018
sb,ykh,EG,,,,Confirm,State Employee Meet & Greet with Mark Gordon,"Join Mark Gordon to discuss how state government can better support public employees. Mark is committed to ensuring Wyoming’s public employees have the resources they need and policies in place to be successful. While this event will be focused on state employees and issues they face, all are welcome.

Laramie County Library, Sunflower Room
2200 Pioneer Avenue, Cheyenne
 
For questions, please contact 307-514-3241 or email mark@gordonforwyoming.com.",,,,"Laramie County Library System - Cheyenne, WY",12:00:00,6,2018-08-08T12:00:00-0600,https://www.facebook.com/events/485021581963373/,State Employee Meet & Greet with Mark Gordon,https://www.facebook.com/markgordon4wyoming/,8/8/2018
sb,ykh,EG,,,,Confirm,Councilor Marc Laplante and Sue Laplante host: Meet & Greet for Rick Green,"City Councilor Marc Laplante and Susan Laplante cordially invite you for Summer Fare and Cocktails to “Meet and Greet” Congressional Candidate Rick Green at their home (29 Durso Avenue Lawrence, MA) from 6:30 PM to 8:00 PM on Wednesday, August 8th. This is your opportunity to meet Rick and to speak with him about any issues or concerns you might have regarding the congressional district. We hope to see you there!",,,,"Laplante Residence - Lawrence, MA",18:30:00,4,2018-08-08T18:30:00-0400,https://www.facebook.com/events/191453865059368/,Councilor Marc Laplante and Sue Laplante host: Meet & Greet for Rick Green,https://www.facebook.com/RickGreenForCongress/,8/8/2018
sb,ykh,EG,,,,Confirm,Dover/Camden Community Town Hall,"Join us for a Community Town Hall to discuss the issues plaguing the Dover/Camden Area. 
Topics:  Opioid Crisis, Veterans VA Healthcare, Economic Future/Jobs, Crime, school safety

Panel: Gene Truono, Mayor Justin King, Marc Garduno (VFW), Robin Hayes M.S., R.D., C.D.E., L.D.N., Chief Marvin C. Mailey, Dover Police Chief",,,,-,18:30:00,4,2018-08-08T18:30:00-0400,https://www.facebook.com/events/1697099893719897/,Dover/Camden Community Town Hall,https://www.facebook.com/VoteTruono/,8/8/2018
sb,ykh,EG,,,,Confirm,Exeter Meet and Greet with Andrew Janz!,"Join us for an evening with friends in Exeter for a meet & greet with Congressional candidate Andrew Janz, our candidate taking on Devin Nunes in CA-22. Andrew will give a campaign update and open it up to Q&A. Space is limited, so please RSVP to kate@andrewjanzforcongress.com for the event address.",,Exeter,CA,"Exeter, CA - Exeter, CA",18:30:00,7,2018-08-09T18:30:00-0700,https://www.facebook.com/events/267105354066312/,Exeter Meet and Greet with Andrew Janz!,https://www.facebook.com/andrewjanzforcongress/,8/9/2018
sb,EG,SA,,,,Confirm,Mt. Laurel Office Opening!,"Join us as we celebrate the grand opening of our new office! Doors open at 8:30 AM, and special guest Senator Cory Booker will speak at 9:30 AM.  

Ticket prices will contribute to our supplies inventory, so please come out to help us equip our new space!",Cory Booker,Mt. Laurel,NJ,"139 Gaither Dr, Mt Laurel, NJ 08054-1701, United States - ",8:30:00,4,2018-08-09T08:30:00-0400,https://www.facebook.com/events/2167109443531805/,Mt. Laurel Office Opening!,https://www.facebook.com/AndyKimNJ/,8/9/2018
sb,EG,ykh,,,,Confirm,Guthrie County: Meet And Greet for Cindy Axne for Congress,"Join Cindy Axne Candidate for U.S. Congress in Iowa’s 3rd District for a Meet and Greet hosted by the Guthrie County Democrats with special Guest John K. Delaney. 

Cindy is a fifth-generation Iowan that grew up in Des Moines and graduated from the University of Iowa. After spending time in Illinois, where she earned an MBA from Northwestern University, Cindy, her husband, and their two kids moved to West Des Moines in 2005. From 2005-2014, Cindy worked for the State of Iowa, helping agencies more efficiently and effectively deliver services to taxpayers. Simultaneously, she became an activist on issues like universal kindergarten for kids in West Des Moines. She now runs a digital design firm with her husband.

RSVP to Joe Diver
Joe@CindyAxneforCongress.com",,,,"PJ's Drive-In - Panora, IA",13:00:00,5,2018-08-09T13:00:00-0500,https://www.facebook.com/events/409123286274408/,Guthrie County: Meet And Greet for Cindy Axne for Congress,https://www.facebook.com/CindyAxneForCongress/,8/9/2018
sb,ykh,EG,,,,Confirm,Hamel — Meet Dean!,"The Majerus, Schmidt, and Moore families invite you to a meet and greet with Congressional candidate Dean Phillips in Hamel!

Hear Dean's story, his values, and how he will work to represent you in Congress — just as important, come share your story with Dean. What do you value? What are your hopes and dreams for our community and our nation? Come to this event and meet Dean, because #EveryonesInvited!",,,,"Hamel Community Center - Hamel, MN",18:00:00,5,2018-08-09T18:00:00-0500,https://www.facebook.com/events/443620462810368/,Hamel — Meet Dean!,https://www.facebook.com/deanphillipsforcongress/,8/9/2018
sb,ykh,EG,,,,Confirm,Goshen County Fair Parade,Harriet looks forward to participating in her home county's fair parade.,,,,"Torrington, WY - Torrington, WY",10:00:00,6,2018-08-09T10:00:00-0600,https://www.facebook.com/events/252513112022676/,Goshen County Fair Parade,https://www.facebook.com/harriethageman/,8/9/2018
