K1,K2,K3,D1,D2,D3,,,,Additional,City,State,,Start Time,Time Zone,,,,,
,,,sb,EG,SA,Delete,Canvass in Lakeland 8/4,"We are knocking on doors in Lakeland this Saturday!
Ballots are being sent out so we need all hands on deck to get our Navy Veteran elected.
We need all our neighbors to know why we are supporting Andrew Learned before they fill out their ballots. 

Meet in the dining area of the Lake Miriam Square Publix to get your turf and lit.  Training provided- first time canvassers welcome and encouraged",,,,"Publix Super Market at Lake Miriam Square - Lakeland, FL",12:00:00,4,2018-08-04T12:00:00-0400,https://www.facebook.com/events/524240368033924/,Canvass in Lakeland 8/4,https://www.facebook.com/AndrewLearned/,8/4/2018
,,,sb,EG,SA,Delete,Canvass in Temple Terrace 8/5,"Get ready Temple Terrace! The Andrew Learned campaign is hitting your streets this weekend. This is one of the most important weekends for this historic election. Now is the time to get involved. Help us knock on doors and tell our neighbors why we are supporting Andrew Learned. Ballots have been sent out, so we must talk to them now!

Meet in the Dunkin Donuts on Fowler near 56th St to get your turf and lit. Training provided- first time canvassers welcome and encouraged",,,,"5610 E Fowler Ave, Temple Terrace, FL 33617-2308, United States - ",17:00:00,4,2018-08-05T17:00:00-0400,https://www.facebook.com/events/216317425733007/,Canvass in Temple Terrace 8/5,https://www.facebook.com/AndrewLearned/,8/5/2018
,,,sb,EG,SA,Delete,Phone Bank in Lakeland,We need to call everyone with a Vote by Mail Ballot! Help us talk to voters about Andrew Learned!,,,,"5718 Scott Lake Hills Ln, Lakeland, FL 33813-3235, United States - ",18:00:00,4,2018-08-06T18:00:00-0400,https://www.facebook.com/events/985118151668774/,Phone Bank in Lakeland,https://www.facebook.com/AndrewLearned/,8/6/2018
,,,sb,EG,SA,Delete,Bowling with Andy Kim,"Join us for a night of bowling to support:
Andy Kim
Democratic Congressional Candidate for New Jersey's 3rd District 
Challenging 'Trumpcare' Author Tom MacArthur

Your donation to the campaign gets you two hours of bowling and refreshments! You'll also have the opportunity to register to vote, request an absentee ballot (which can be sent to your campus), and sign up to volunteer with the campaign. 

We hope to see you there! Make sure to bring along friends and families—all are welcome!",,,,"Laurel Lanes - Maple Shade, NJ",18:00:00,4,2018-08-09T18:00:00-0400,https://www.facebook.com/events/1626107797514789/,Bowling with Andy Kim,https://www.facebook.com/AndyKimNJ/,8/9/2018
,,,sb,EG,ykh,Delete,Election Night Watch Party,"Our team of staff and volunteers have worked tremendously hard over the last several months to spread Andy’s progressive message throughout the 9th Congressional District! 

Join us at our election night watch party to celebrate our hard work, and to thank the voters of our campaign!",,,,"Rogers Roost - Sterling Heights, MI",20:00:00,4,2018-08-07T20:00:00-0400,https://www.facebook.com/events/1052808381565186/,Election Night Watch Party,https://www.facebook.com/AndyLevinForCongress/,8/7/2018
,,,sb,EG,ykh,Delete,Weekend of Action: Saturday Bloomington Phone Bank,"Next weekend, August 11 & 12, is our Weekend of Action across the district! Join us in Bloomington on Saturday to make phone calls in McLean County for Betsy! #TeamBetsy",,,,"McLean County Democrats HQ 801 W Washington St Bloomington, IL 61701 - ",9:00:00,5,2018-08-11T09:00:00-0500,https://www.facebook.com/events/271492846970113/,Weekend of Action: Saturday Bloomington Phone Bank,https://www.facebook.com/BetsyDirksenLondrigan/,8/11/2018
,,,sb,EG,ykh,Delete,Weekend of Action: Saturday Monticello Phone Bank,"Next weekend, August 11 & 12, is our Weekend of Action across the district! Join us in Monticello on Saturday to make phone calls in Piatt County for Betsy! #TeamBetsy",,,,"Hardee's - Monticello, IL",17:00:00,5,2018-08-11T17:00:00-0500,https://www.facebook.com/events/1497725993706711/,Weekend of Action: Saturday Monticello Phone Bank,https://www.facebook.com/BetsyDirksenLondrigan/,8/11/2018
,,,sb,EG,ykh,Delete,St. Paul Lawn Sign Launch,"Do you have a free hour on Sunday, August 5th? Do you have a car or access to one? Do you have the desire to support Betty McCollum's re-election to Congress? Good! Stop by the office at noon to grab a route and a few signs to put up and we'll send you on your way. (Pairing up is encouraged but not necessary.)

Please email Ian@mccollumforcongress.com to RSVP.",,,,"661 La Salle St, St Paul, MN 55114-1805, United States - ",12:00:00,5,2018-08-05T12:00:00-0500,https://www.facebook.com/events/1885236141776733/,St. Paul Lawn Sign Launch,https://www.facebook.com/betty.mccollum1/,8/5/2018
,,,sb,EG,ykh,Delete,Primary Election Day - Vote Wild on August 7th,"Join the WILD team today! Click the link to the official Bill Wild for Congress page and join our team. Our volunteers will play a crucial role as we work towards the primary election on August 7th, 2018. We will need your help! Click the link, sign up, and help us send Mayor Bill Wild to Washington. #WildForThe13th http://www.billwildforcongress.com/",,,,13th Congressional District -,7:00:00,4,2018-08-07T07:00:00-0400,https://www.facebook.com/events/406333063179459/,Primary Election Day - Vote Wild on August 7th,https://www.facebook.com/BillWild4Congress/,8/7/2018
,,,sb,EG,ykh,Delete,Promote the Vote,Join Cathy's campaign as we help Promote the Vote in Michigan!,,,,"Festival Market Square - Battle Creek, MI",17:00:00,4,2018-08-04T17:00:00-0400,https://www.facebook.com/events/1124119731059654/,Promote the Vote,https://www.facebook.com/cathyalbroforcongress/,8/4/2018
,,,sb,EG,ykh,Delete,GOTV Canvass for Cathy Myers in Kenosha!,"Join us on Saturday,  August 4th at the Home of Gwendolyn Skaggs to help elect Cathy Myers! Shifts are at 10am, 12pm, 2pm, and 4pm.  We need all hands on deck (and knocking doors) as we are in the final stretch before the August 14th primary!

If you have any questions, would like to knock on doors in your neighborhood or cannot physically canvass but would like to help in another way, just let us know in the comments or email our Kenosha organizer, Krish, at krish@cathymyersforcongress.com

Cathy is a 24-year veteran high school teacher who has served on the Janesville School Board since 2013. She’s running to strengthen public education and protect our schools from gun violence by enacting commonsense gun safety reforms. She’s also a single mom who understands the struggles working families face, that’s why she’s fighting for Medicare for All so everyone has access to the healthcare they need, to guarantee affordable childcare, and to raise the minimum wage to $15 an hour. 

If you can't make it on Saturday, but would like to volunteer with Cathy Myers, email Krish@cathymyersforcongress.com or sign up here: https://cathymyersforcongress.com/volunteer-with-team-cathy/",,,,"7300 7th Ave, Kenosha, WI 53143-5556, United States - ",10:00:00,5,2018-08-04T10:00:00-0500,https://www.facebook.com/events/291092241642425/,GOTV Canvass for Cathy Myers in Kenosha!,https://www.facebook.com/cathymyersforcongress/,8/4/2018
,,,sb,EG,ykh,Delete,GOTV Canvass for Cathy Myers in Kenosha!,"Join us on Saturday,  August 4th at the Home of Gwendolyn Skaggs to help elect Cathy Myers! Shifts are at 12pm, 2pm, and 4pm.  We need all hands on deck (and knocking doors) as we are in the final stretch before the August 14th primary!

If you have any questions, would like to knock on doors in your neighborhood, or cannot physically canvass but would like to help in another way, just let us know in the comments or email our Kenosha organizer, Krish, at krish@cathymyersforcongress.com

Cathy is a 24-year veteran high school teacher who has served on the Janesville School Board since 2013. She’s running to strengthen public education and protect our schools from gun violence by enacting commonsense gun safety reforms. She’s also a single mom who understands the struggles working families face, that’s why she’s fighting for Medicare for All so everyone has access to the healthcare they need, to guarantee affordable childcare, and to raise the minimum wage to $15 an hour. 

If you can't make it on Saturday, but would like to volunteer with Cathy Myers, email Krish@cathymyersforcongress.com or sign up here: https://cathymyersforcongress.com/volunteer-with-team-cathy/",,,,"7300 7th Ave, Kenosha, WI 53143-5556, United States - ",12:00:00,5,2018-08-05T12:00:00-0500,https://www.facebook.com/events/2181411121898832/,GOTV Canvass for Cathy Myers in Kenosha!,https://www.facebook.com/cathymyersforcongress/,8/5/2018
,,,sb,EG,ykh,Delete,Day of Action - Orlando,"The Primary Election is on August 28th, so we're knocking doors, making phone calls, and sending text messages to build support for Chris and Get Out the Vote!

If this is your first time volunteering with the campaign, don't worry! You will receive all the resources you need to knock doors, make calls, and send texts to registered voters. Be sure to bring a friend!

RSVP: https://secure.ngpvan.com/G32eufpZAUi_bED6RMaKrw2

For more information: tmartin@chriskingforflorida.com

Can't join us for this event, but still want to support Chris?

Join #TeamKing:
https://www.chriskingforflorida.com/get-involved/
Twitter: https://twitter.com/ChrisKingFL
Instagram: https://www.instagram.com/chriskingfl/",,,,"1612 E Colonial Dr, Orlando, FL 32803-4804, United States - ",15:00:00,4,2018-08-11T15:00:00-0400,https://www.facebook.com/events/480784245755195/,Day of Action - Orlando,https://www.facebook.com/ChrisKingFL/,8/11/2018
,,,sb,ykh,EG,Delete,Saline County Canvass/ Phone Bank,"Join Team Tucker  as we knock on doors to let voters know about Clarke Tucker and the many reasons to vote this November!

We will meet at the Democratic Party of Saline County headquarters at 9:45 am. 

Never canvassed before? No worries, as we will provide training  and send you out with a partner.

If you can come for even half an hour, your work will make a difference.",,,,"Democratic Party of Saline County - Benton, AR",10:00:00,5,2018-08-04T10:00:00-0500,https://www.facebook.com/events/273022173287277/,Saline County Canvass/ Phone Bank,https://www.facebook.com/TuckerForCongress/,8/4/2018
,,,sb,ykh,EG,Delete,Clarke Tucker for Congress Phone Bank,"Stop by our headquarters after work to help us talk to voters all over the district! We will be set up for 2 hours, but please stop by for any amount of time you are available. Food will be provided.",,,,"7509 Cantrell Road, Suite 211, Little Rock, AR 72207 - ",17:30:00,5,2018-08-09T17:30:00-0500,https://www.facebook.com/events/2150721321873780/,Clarke Tucker for Congress Phone Bank,https://www.facebook.com/TuckerForCongress/,8/9/2018
,,,sb,ykh,EG,Delete,Saturday Day of Action,"This weekend we have 2 Days of Action for our field campaign. A big crowd will gather at the Target in Fultondale, get walk packets, then head out to knock doors. There will be plenty of training for first timers. But if you have experience canvassing, you can pick up your packet and go!

In addition to these big Days of Action, we welcome people to come by the office any day, any time to volunteer. There are tens of thousands of doors to knock!",,,,"Target Store Fultondale - Fultondale, AL",10:00:00,5,2018-08-04T10:00:00-0500,https://www.facebook.com/events/254621995353921/,Saturday Day of Action,https://www.facebook.com/VoteDannerKline/,8/4/2018
,,,sb,ykh,EG,Delete,Sunday Day of Action,"This weekend we have 2 Days of Action for our field campaign. A big crowd will gather at the Target in Fultondale, get walk packets, then head out to knock doors. There will be plenty of training for first timers. But if you have experience canvassing, you can pick up your packet and go!

In addition to these big Days of Action, we welcome people to come by the office any day, any time to volunteer. There are tens of thousands of doors to knock!",,,,"Target Store Fultondale - Fultondale, AL",14:00:00,5,2018-08-05T14:00:00-0500,https://www.facebook.com/events/1866266183457917/,Sunday Day of Action,https://www.facebook.com/VoteDannerKline/,8/5/2018
,,,sb,ykh,EG,Delete,Phonebank with State Representative David Richardson,"Join us for a phonebank in support of David Richardson and help us earn votes that will lead us to victory on August 28th.

Richardson made history when he was first elected to the Florida House of Representatives in 2012 with the support of SAVE, becoming the first openly gay state representative in Florida. For the past three years, he has been fighting in Tallahassee to protect LGBTQ youth from the dangerous and fraudulent practice of conversion therapy. 

RSVP at http://www.save.lgbt/richardson_phonebank",,,,"CIC Miami - Miami, FL",17:00:00,4,2018-08-09T17:00:00-0400,https://www.facebook.com/events/272479053531440/,Phonebank with State Representative David Richardson,https://www.facebook.com/DavidRichardsonFL/,8/9/2018
,,,sb,ykh,EG,Delete,Canvass in Support of David Richardson for Congress,"Join us to knock on doors in your neighborhood for David Richardson and help us earn votes that will lead us to victory on August 28th.

Richardson made history when he was first elected to the Florida House of Representatives in 2012 with the support of SAVE, becoming the first openly gay state representative in Florida. For the past three years, he has been fighting in Tallahassee to protect LGBTQ youth from the dangerous and fraudulent practice of conversion therapy. 

RSVP at http://www.save.lgbt/richardson_canvass_20180818",,,,"336 NW 12th Ave, Miami, FL 33128-1019, United States - ",10:00:00,4,2018-08-18T10:00:00-0400,https://www.facebook.com/events/302495820324846/,Canvass in Support of David Richardson for Congress,https://www.facebook.com/DavidRichardsonFL/,8/18/2018
,,,sb,ykh,EG,Delete,Bloomington Lawn Sign Pick-Up & Early Vote,"Come visit the Government Repair Shack in the Group Travel Directors Parking Lot in Bloomington and while you're here, pick up lawn signs, get merchandise, and vote early! 

Questions? Post here on the event or send us a message!
#EveryonesInvited #DeanTeam",,,,"Group Travel Directors - Accolades International Tours for the Arts - Minneapolis, MN",10:00:00,5,2018-08-04T10:00:00-0500,https://www.facebook.com/events/428535387652790/,Bloomington Lawn Sign Pick-Up & Early Vote,https://www.facebook.com/deanphillipsforcongress/,8/4/2018
,,,sb,ykh,EG,Delete,Smith Coffee — Lawn Signs & Early Vote,"Come visit the Government Repair Shack in the parking lot of Smith Coffee and Cafe in Eden Prairie and while you're here, pick up lawn signs, get merchandise, and vote early! 

Questions? Post here on the event or send us a message!
#EveryonesInvited #DeanTeam",,,,"Smith Eden Prairie - Eden Prairie, MN",13:00:00,5,2018-08-12T13:00:00-0500,https://www.facebook.com/events/662633177445103/,Smith Coffee — Lawn Signs & Early Vote,https://www.facebook.com/deanphillipsforcongress/,8/12/2018
,,,sb,ykh,EG,Delete,Mesa County Volunteer Kickoff,"The early volunteer gets the vote! 

Please join Team Diane in Grand Junction for our Mesa Volunteer Kickoff. We're building an amazing ground game and that starts with creating local volunteer teams. We'll spend some time strategizing before we break out to canvass, phone bank, write letters to the editor, stuff envelops, and more!

There are so many ways to get involved and there's a perfect task for everyone. It takes a village to flip a district, so we need all the help we can get!

Meet at our new headquarters, 241 Grand Ave!",,,,"Grand Junction, CO - Grand Junction, CO",9:30:00,6,2018-08-04T09:30:00-0600,https://www.facebook.com/events/408756839648536/,Mesa County Volunteer Kickoff,https://www.facebook.com/RepDMB/,8/4/2018
,,,sb,ykh,EG,Delete,GOTV Office Party & Canvass,"Join us Sunday 8/5 at our Warren Field Office for drinks, snacks and an afternoon canvass with Ellen to Get Out the Vote.",,,,14156 E 12 Mile Rd -,12:00:00,4,2018-08-05T12:00:00-0400,https://www.facebook.com/events/738554479821315/,GOTV Office Party & Canvass,https://www.facebook.com/EllenLiptonforCongress/,8/5/2018
,,,sb,ykh,EG,Delete,Burnsville Door Knock,"We are less than 2 weeks away from the Primary! Now is the time to take action. Join Team Erin to knock doors in Burnsville. We'll meet nearby at the Apple Valley DFL HQ at 10am. This will allow us to have a space to train, and in the case of thunderstorms, we'll make phone calls instead.

 *There is a parking lot behind the building. You can find us on the second floor in Suite 215. Call or text CD 2 organizer, Jillian Carpenter, (218) 349-9300 with any questions or to RSVP.",,,,"15322 Galaxie Ave W, Apple Valley, MN 55124-3148, United States - ",9:00:00,5,2018-08-04T09:00:00-0500,https://www.facebook.com/events/255845458573889/,Burnsville Door Knock,https://www.facebook.com/epmurphymn%20/,8/4/2018
,,,sb,ykh,EG,Delete,Doorknocking in Rochester,Join us at the Rochester DFL office for a door knock for Erin Murphy! We will be meeting at the office at 10 AM.,,,,"1500 1st Ave NE, Rochester, MN 55906-4107, United States - ",10:00:00,5,2018-08-04T10:00:00-0500,https://www.facebook.com/events/410789259442533/,Doorknocking in Rochester,https://www.facebook.com/epmurphymn%20/,8/4/2018
,,,sb,ykh,EG,Delete,Mankato Door Knock,Join us for a door knock in Mankato this Saturday held in the SD 19 DFL office! We will be kicking the event off at 10 AM. Contact campaign organizer Maddie Pavek maddiep@murphyformn.com to RSVP or with questions.,,,,"110 E Liberty St, Mankato, MN 56001-3851, United States - ",10:00:00,5,2018-08-04T10:00:00-0500,https://www.facebook.com/events/2210708975817798/,Mankato Door Knock,https://www.facebook.com/epmurphymn%20/,8/4/2018
,,,sb,ykh,EG,Delete,Northfield Door Knock,Join us for a door knock at the DFL office in Northfield this Saturday! We will be meeting at noon. Contact organizer Maddie Pavek (maddiep@murphyformn.com) to RSVP or with questions!,,,,"108 Highway 3 S, Northfield, MN 55057, United States - ",12:00:00,5,2018-08-05T12:00:00-0500,https://www.facebook.com/events/235041527143211/,Northfield Door Knock,https://www.facebook.com/epmurphymn%20/,8/5/2018
,,,sb,ykh,EG,Delete,Election Day vote for Fred Wooden,"#WhenEverybodyVotesEverybodyWins
August 7 is the big day. Go to your polling place, and vote. 
Vote for Democrats.
In Michigan's third congressional district, please vote for Fred Wooden.",,,,Your polling place -,7:00:00,4,2018-08-07T07:00:00-0400,https://www.facebook.com/events/2169586016656382/,Election Day vote for Fred Wooden,https://www.facebook.com/FW2018/,8/7/2018
,,,sb,ykh,EG,Delete,Saturday GOTV for Gretchen Driskell!,"Join Team Driskell to knock doors as we prepare for the August 7 primary election! We have door knocking locations in Monroe, Washtenaw, Lenawee, Eaton, and Jackson. Grab some water, put on sunblock, and tie your shoes so we can get out the vote together!

Sign Up Here: https://secure.ngpvan.com/4iqEC8IIwUGOtR5duRFfXQ2

Shift Times:
9am, 12pm, 3pm, 6pm",,,,Michigan -,9:00:00,4,2018-08-04T09:00:00-0400,https://www.facebook.com/events/504490793336454/,Saturday GOTV for Gretchen Driskell!,https://www.facebook.com/votegretchen/,8/4/2018
,,,sb,ykh,EG,Delete,Sunday GOTV for Gretchen Driskell!,"Join Team Driskell to knock doors as we prepare for the August 7 primary election! We have door knocking locations in Monroe, Washtenaw, Lenawee, Eaton, and Jackson. Grab some water, put on sunblock, and tie your shoes so we can get out the vote together!

Sign Up Here: 
https://secure.ngpvan.com/bAv5oIsJWU-3MGokMHCTng2

Shift Times:
9am, 12pm, 3pm, 6pm",,,,Michigan -,9:00:00,4,2018-08-05T09:00:00-0400,https://www.facebook.com/events/280854222721102/,Sunday GOTV for Gretchen Driskell!,https://www.facebook.com/votegretchen/,8/5/2018
,,,sb,ykh,EG,Delete,Monday GOTV for Gretchen Driskell!,"Join Team Driskell to knock doors as we prepare for the August 7 primary election! We have door knocking locations in Monroe, Washtenaw, Lenawee, Eaton, and Jackson. Grab some water, put on sunblock, and tie your shoes so we can get out the vote together!

Sign Up Here: 
https://secure.ngpvan.com/mklqHIY9mECw-llJ0d4rwA2

Shift Times:
9am, 12pm, 3pm, 6pm",,,,Michigan -,9:00:00,4,2018-08-06T09:00:00-0400,https://www.facebook.com/events/262137421253669/,Monday GOTV for Gretchen Driskell!,https://www.facebook.com/votegretchen/,8/6/2018
,,,sb,ykh,EG,Delete,Tuesday GOTV for Gretchen Driskell!,"Join Team Driskell to knock doors as we prepare for the August 7 primary election! We have door knocking locations in Monroe, Washtenaw, Lenawee, Eaton, and Jackson. Grab some water, put on sunblock, and tie your shoes so we can get out the vote together!

Sign Up Here: 
https://secure.ngpvan.com/fQjG0ocVCU-_-pBIBs-MMg2

Shift Times:
8am, 11am, 2pm, 5pm",,,,Michigan -,8:00:00,4,2018-08-07T08:00:00-0400,https://www.facebook.com/events/1693285260797474/,Tuesday GOTV for Gretchen Driskell!,https://www.facebook.com/votegretchen/,8/7/2018
,,,sb,ykh,EG,Delete,GOTV Canvass Kick-off with Gretchen Whitmer in Lansing,"RSVP: https://events.mobilizeamerica.io/whitmerformi/event/7401/

Rally with Gretchen to show the strength of OUR movement and then go knock doors!

Now more than ever we need to let voters know how Gretchen’s plans for healthcare, education, and infrastructure will better the lives of Michiganders. Together, we can get the vote out for Gretchen! We need all hands on deck for this final push. Bring your friends and neighbors, and sign up for as many shifts as you can! See our other events here: https://events.mobilizeamerica.io/whitmerformi/

We have four shifts on Saturday, but you can come any time if you have a few hours to give. Please consider also signing up to make calls on Election Day (find a separate sign-up for that on our events page). Election Day is our last chance to get out the vote of our supporters!

Thank you for your support of Gretchen’s campaign -- we truly can’t do this without you. Now is the time to #WinWithWhitmer. As Gretchen says, let’s get it done!",,,,"Lansing Office 107 E. Washtenaw Suite 2 Lansing, MI 48933 - ",9:00:00,4,2018-08-04T09:00:00-0400,https://www.facebook.com/events/1806174266132819/,GOTV Canvass Kick-off with Gretchen Whitmer in Lansing,https://www.facebook.com/GretchenWhitmer/,8/4/2018
,,,sb,ykh,EG,Delete,Kalamazoo GOTV Canvass Event w/ Jon Hoadley & Gretchen Whitmer,"We’re in the final stretch and Team Whitmer needs your help! Come knock on doors, along with special guest Representative Jon Hoadley, to share why you're supporting Gretchen!

Michigan families are counting on our leaders to make healthcare affordable, improve education, and provide a safe and clean state to grow up in. Let's get the vote out and elect a governor who won't disappoint them. Gretchen has the experience as a leader and as a mom to get the job done. We need all hands on deck for this final push, so bring your friends and neighbors!

First time knocking doors? We’ll train you! It’s fun, and having one-on-one conversations with voters is the MOST effective thing you can do to get them to the polls to support Gretchen.

Gretchen Whitmer will stop by after the canvass to thank volunteers for their hard day’s work, so come knock doors before meeting your next Governor!

Thank you for your support of Gretchen’s campaign -- we truly can’t do this without you. Now is the time to #WinWithWhitmer. As Gretchen says, let’s get it done!",,,,"514 E Ransom St, Kalamazoo, MI 49007, United States - ",12:00:00,4,2018-08-04T12:00:00-0400,https://www.facebook.com/events/1772174046200407/,Kalamazoo GOTV Canvass Event w/ Jon Hoadley & Gretchen Whitmer,https://www.facebook.com/GretchenWhitmer/,8/4/2018
