K1,K2,K3,D1,D2,D3,Status,Event Title,,Additional,City,State,,Start Time,Time Zone,,Event URL,,,Date
,,,sb,ykh,cj,Delete,Steve at the SCDC Picnic,Every summer SCDC hosts one of the best events of the year - our big picnic! This year it will be held on August 12th. The time is generally 12-3pm (though that may extend once we have a full idea of who will be attending as a candidates). They want to make sure everyone has an opportunity to speak to the hundreds of Strafford Country voters that attend this event.,,,,"American Legion Park, Rollinsford NH -",12:00:00,4,2018-08-12T12:00:00-0400,https://www.facebook.com/events/944593739056596/,Steve at the SCDC Picnic,https://www.facebook.com/marchandforNH/,8/12/2018
sb,ykh,,EG,sa,,,Support Dave Loebsack in Albia!,"Please join our hosts in supporting Dave Loebsack for Congress: LuAnn & Tony Colosimo, Justine & Bill Heffron, Martha Viner, and Becky, Tiffany & Tom Johnson.
 
 The Home of Tony and LuAnn Colosimo
 7087 189th Street
 Albia, IA 52531
 
 Dave is in his sixth term representing Iowa's 2nd district. He is Iowa's only federally-elected Democrat and one of 12 Democrats to represent a seat won by Donald Trump in 2016. National Republican groups have pledged to ""viciously attack"" his campaign so we need your support!
 
 Please RSVP to Jackson, 319-804-9218 or 
 by email at jackson@loebsackforcongress.org",,,,"7087 189th St, Albia, IA 52531-8771, United States -",15:00:00,5,2018-08-12T15:00:00-0500,https://www.facebook.com/events/202308050458641/,Support Dave Loebsack in Albia!,https://www.facebook.com/LoebsackforCongress/,8/12/2018
,,,sb,ykh,cj,Delete,The Mondegreens Concert in support of Audrey Denney for Congress,"Join us in downtown Chico at the Naked Lounge Chico for a night of great music, featuring The Mondegreens with Chris Keene of Surrogate on Sunday, August 12th! Doors open at 7:30pm, show starts at 8pm! Tickets are $12 at the door. Online pre-sale tickets are $10: secure.actblue.com/donate/denney-greens
 
 The Mondegreens is a group of five Seattle-based musicians carving out a niche in the city's prolific indie rock scene, one that centers on wide dynamic swings and ever-present three-part harmonies. The group's two frontmen, David Friedlander and Russell Rabut, draw on over a decade of singing together, spinning harmonic webs across the peaks and valleys of the group's vibrant sound, their voices as likely to combine over a selection from Neil Young's back catalog, as a slacker rock anthem from their youth.
 
 To contribute with or without attendance: secure.actblue.com/donate/denney-greens
 
 -------------------------------------------------------
 www.AudreyforCongress.com #AudreyforCongress
 Audrey Denney is running for congress in California’s 1st Congressional District, which includes Butte, Lassen, Modoc, Plumas, Shasta, Sierra, Siskiyou, Tehama, Nevada, Glenn, and Placer counties. Vote on November 6th!",,,,"Naked Lounge Chico - Chico, CA",19:30:00,7,2018-08-12T19:30:00-0700,https://www.facebook.com/events/2072562306328830/,The Mondegreens Concert in support of Audrey Denney for Congress,https://www.facebook.com/audreyforcongress/,8/12/2018
,,,sb,cj,,,"Watermen's Appreciation Day in St. Michaels, Md.","On Sunday, August 12, 2018, the 9th annual Watermen’s Appreciation Day comes to the Chesapeake Bay Maritime Museum in St. Michaels, Md., featuring a spirited boat docking contest, steamed crabs and other regional food, live music, beer, boat rides, family activities, and more. The fundraising event is organized by CBMM in cooperation with the Talbot Watermen Association, with proceeds benefiting both organizations.
 
 Beginning at noon, the event’s “watermen’s rodeo” boat docking contest returns to the Miles River near CBMM's 1879 Hooper Strait Lighthouse. Bleacher seating will be provided for spectators to the contest. 
 
 “The boat docking contest is great fun to watch, and participate in,” said TWA President Jeff Harrison. “It’s a spirited day of celebrating the Chesapeake Bay’s watermen, from the rodeo, to the cold beer and hot crabs.” 
 
 The opportunity to meet the Chesapeake’s watermen, along with local steamed crabs, beer, and other food and beverages continue to highlight the waterfront festival. 
 
 Starting at noon, the day’s catch of steamed crabs—served by watermen—will be available for purchase, in addition to beer, water, soda, hot dogs, hamburgers, ice cream, and more. Steamed crabs will be sold by the dozen, with pricing set by July 27 and posted at cbmm.org. 
 
 “We’ve consistently been able to sell a dozen steamed crabs with corn on the cob at $25,” said Harrison. “We’re hoping this year’s market will allow us to do the same.”
 
 Also beginning at noon, live music with Bird Dog and the Road Kings from the historic Tolchester Beach Bandstand will have people tapping their toes and dancing along CBMM’s waterfront.
 
 Children and families can enjoy games and activities offered throughout the day. Later in the day, children’s on-the-water activities include a children’s row boat competition, with prizes awarded.
 
 During Watermen’s Day, event-goers can take part in a silent auction in the Small Boat Shed, with all proceeds supporting the Talbot Watermen Association.
 
 While at CBMM, guests can explore all 12 exhibitions buildings and see progress on the log-hull restoration of the 1889 bugeye Edna E. Lockwood, now underway in the shipyard through her launching at OysterFest on Saturday, October 27, 2018. Special exhibitions include Kent’s Carvers and Clubs: Guides, Gunners and Co-Ops: Exploring the Chesapeake: Mapping the Bay; and Lines of the Floating Fleet.
 
 Admission to the 10:00 a.m. to 5:00 p.m. rain or shine event includes the boat docking contest, live music, numerous family activities, entrance to all CBMM exhibitions and historic structures, and is set at $18 for adults, $8 for children 6-17, with all children five years of age and under admitted free. CBMM members along with licensed watermen and their immediate families get discounted admission at $10 per adult, and $6 per child ages 6-17. Food and beverages are additional. 
 
 Advanced admission tickets can be purchased online at bit.ly/watermensday, with tickets also sold at the door the day of the event. Discounted watermen’s tickets will be available at the door the day of the event, with an active watermen’s license shown. Boat rides, steamed crabs, beer, and additional food and beverages will be available for purchase. Free event parking will be available at St. Michaels High School, with a complimentary shuttle service to CBMM running throughout the day.
 
 For safety reasons, non-service dogs need to be kept home during CBMM festivals, including Watermen’s Appreciation Day. Leashed dogs are only permitted on CBMM’s campus during regular operating hours. Carry-on alcohol from dock or land is prohibited.
 
 See photos from previous years at bit.ly/watermenphotos. For more information, visit cbmm.org or call 410-745-2916.",,,,"Chesapeake Bay Maritime Museum - Saint Michaels, MD",10:00:00,4,2018-08-12T10:00:00-0400,https://www.facebook.com/events/343211192821224/,"Watermen's Appreciation Day in St. Michaels, Md.",https://www.facebook.com/Colvin4Congress/,8/12/2018
,,,sb,sa,cj,Delete,"Rick Neal Fundraiser in Washington, DC with Jim Obergefell","You're invited to join hosts Andy Flick, Jason Calhoun, Kevin Walling, and special guest Jim Obergefell in support of Rick Neal, candidate for U.S. Congress in Ohio's 15th District.
 
 PAC: $5,000
 SPONSOR: $2,700
 HOST: $1,000
 FRIEND: $500
 SUPPORTER: $250
 GUEST: $100
 
 Where: Number Nine, 1435 P Street NW, Washington, DC 20005
 
 When: Tuesday, August 14th from 6:00 PM – 8:00 PM
 
 Please RSVP to Michael Lakomy at lakomy@rickneal.com or 513-849-1037. Contributions can be made online at https://secure.actblue.com/donate/rn-dc, or by mail to:
 
 Rick Neal for Congress
 545 E Town St.
 Columbus, OH 43215",,,,"Number Nine, 1435 P Street NW, Washington, DC 20005 -",18:00:00,4,2018-08-14T18:00:00-0400,https://www.facebook.com/events/2105783683016508/,"Rick Neal Fundraiser in Washington, DC with Jim Obergefell",https://www.facebook.com/RickNealforCongress/,8/14/2018
sb,ykh,cj,,,,Confirm,HQ Grand Opening,"Come drop in with Mahony for Congress for our HQ Grand Opening! We will have plenty of information about how to get involved in the campaign, and even hear from Josh!",,,,"355 N College Ave, Fayetteville, AR 72701-4204, United States -",18:00:00,5,2018-08-15T18:00:00-0500,https://www.facebook.com/events/245248612749293/,HQ Grand Opening,https://www.facebook.com/mahonyarkansas/,8/15/2018
ykh,EG,,sb,cj,,,Join Dan in Rochester!,"Join host committee Mary Graf, Rich Dietman & Mary Musielewicz, Jim & Suzanne Greenleaf, Flo Sandok, Paul & Pat Julsrud, Kevin & Sue Schruers, David & Anne Viswanatha, Maggie Brimijoin, and Jonathan & Lorriane Clan
 
 For a fundraising reception in the honor of Dan Feehan, DFL-endorsed candidate in Minnesota's frist Congressional district.
 
 Wednesday, August 15th
 5:30pm - 7:30pm
 At the home of Mary Graf
 1314 30th St SW, Rochester, MN, 55902
 
 Suggested donation:
 500 l 250 l 100 l 50
 
 With questions or to RSVP, contact Maggiy at maggiy@danfeehan.com.
 
 We hope to see you there!",,,,"1314 30th St SW, Rochester, MN, 55902 -",17:30:00,5,2018-08-15T17:30:00-0500,https://www.facebook.com/events/416871708822944/,Join Dan in Rochester!,https://www.facebook.com/danfeehanforcongress/,8/15/2018
,,,sb,ykh,cj,Delete,Claire Lynch and Friends Concert for Peter Joffrion,"Join Grammy nominated artist, Claire Lynch and Friends for a night of bluegrass to benefit Peter Joffrion for Congress! 
 
 Thursday August 16th at the Shoals Community Theatre in downtown Florence
 Concert at 7pm, Doors open at 6:30pm
 Ticket sales online at 
 https://www.peterjoffrion.com/events/clairelynchbenefitconcert 
 Or at the door starting at 3:30pm the day of concert
 
 Ticket Details:
 $10 for balcony
 $15 for main floor
 $40 for VIP seating and pre-show reception with Claire Lynch and Peter Joffrion at 5:30pm",,,,"Shoals Community Theatre - Florence, AL",18:30:00,5,2018-08-16T18:30:00-0500,https://www.facebook.com/events/1792845900803126/,Claire Lynch and Friends Concert for Peter Joffrion,https://www.facebook.com/Peterforthepeople/,8/16/2018
,,,sb,ykh,cj,Delete,Steve in Derry,"You are Cordially Invited by our Host, Joshua Bourdon, to join him in Supporting Steve Marchand, Democratic candidate for Governor of New Hampshire. 
 
 RSVP to emerson@stevemarchand.com or call 603.856.1459",,,,"11 Village Brook Ln, Derry, NH 03038-4867, United States -",17:30:00,4,2018-08-16T17:30:00-0400,https://www.facebook.com/events/247084226019597/,Steve in Derry,https://www.facebook.com/marchandforNH/,8/16/2018
,,,sb,ykh,cj,Delete,Caroline Summerfest 2018,"2 night event Friday and Saturday.
 live music, food, kids activities, vendors, artisans, and so much more.",,,,"100 Market St, Denton, MD 21629-1035, United States -",17:00:00,4,2018-08-17T17:00:00-0400,https://www.facebook.com/events/509907612676119/,Caroline Summerfest 2018,https://www.facebook.com/Colvin4Congress/,8/17/2018
,,,sb,ykh,cj,Delete,Groove City Culture Fest: Celebrating Black Culture,"SAVE THE DATE! 
 
 To promote cultural diversity and share our city's rich African American heritage, we invite you to join us for a day of celebration!
 
 Get ready to celebrate with art, musical and dance performances, vendors, food and more. The event welcomes all ages and will offer visitors a wide range of activities, from entertainment to educational opportunities.
 
 Help us bring this festival to Pine Street by making a donation to our kick starter campaign! All donations are tax-deductible and go directly to supporting the festival. Donate online: https://squ.re/2K7f12i
 
 Vendor, cook-off, and sponsor information/forms: http://bit.ly/2M9yYTv 
 
 Stay tuned for more updates!",,,,Pine Street -,13:00:00,4,2018-08-18T13:00:00-0400,https://www.facebook.com/events/881478745364672/,Groove City Culture Fest: Celebrating Black Culture,https://www.facebook.com/Colvin4Congress/,8/18/2018
ykh,,,sb,cj,,,Join Team Carper at the Middletown Peach Festival.,"Join Team Carper for the Middletown Olde-Tyme Peach Festival. The festival begins with a parade down Main Street and continues with exhibitions, crafts and a Peach Pie Competition. Team Carper will have a booth and Senator Carper will be making an appearance.",,,,-,8:45:00,4,2018-08-18T08:45:00-0400,https://www.facebook.com/events/1845391558872276/,Join Team Carper at the Middletown Peach Festival.,https://www.facebook.com/TomCarperforDE/,8/18/2018
sb,ykh,cj,,,,Confirm,Make Delaware Red Again!,"Let’s Make Delaware Red Again!!
 
 Confirmed Speakers:
 Dick Heller
 Mark Keith Robinson (I am the majority)
 Maj Toure (Black Guns Matter)
 Mitch Denham (Delaware Gun Rights)",,,,"Blades Volunteer Fire Company - Blades, DE",18:00:00,4,2018-08-18T18:00:00-0400,https://www.facebook.com/events/221641401802148/,Make Delaware Red Again!,https://www.facebook.com/VoteTruono/,8/18/2018
EG,cj,,sb,,,,Primary Friendraiser!,"Friends! Join me for our final push, the Primary elections is 26 DAYS AWAY! I can't do this without your support. Come grab a drink and talk about the issues that matter.",,,,Krewe de Gras -,17:00:00,4,2018-08-18T17:00:00-0400,https://www.facebook.com/events/2115354105413174/,Primary Friendraiser!,https://www.facebook.com/BobRackleff4Congress/,8/18/2018
ykh,cj,,sb,,,,Trumped Store Meet & Greet,"Please join the Trumped Store in Show Low for a meet & greet with Tiffany Shedd on Saturday, August 18 from 9:00 AM-12:00 PM.
 
 Please direct questions or RSVP to Lynndy Smith at Lynndy@SheddForCongress.com or (928) 985-1920.
 
 Tiffany Shedd is a farmer, agribusiness & water attorney, and small business owner running in Arizona's 1st District.",topher: this is in my neck of the woods... these people are scary,,,"The Trumped Store - Show Low, AZ",9:00:00,7,2018-08-18T09:00:00-0700,https://www.facebook.com/events/900820386779853/,Trumped Store Meet & Greet,https://www.facebook.com/sheddforcongress/,8/18/2018
,,,sb,cj,,,DFW Voters Rally: Asian-American Power to the Polls,"A family friendly afternoon of fun and great cultural entertainment to celebrate the Values of the Asian American Community.
 
 The program will showcase local artists from various Asian countries, who will display their traditional & fusion fashion and dances. The Cultural Celebration will include entertainment from communities from India, Pakistan, Thailand, China and Vietnam.
 
 As the Mid-Term elections are now just weeks away, there will be an introduction of DFW Asian American elected officials and Asian American candidates. In addition, the audience will have the opportunity to meet some Congressional candidates. Learn how their platforms address matters which relate to the Values of the Asian American community. 
 
 One of the highlights of the celebration will be the presentation of an award to Michelle Wong Krause by CD32 Candidate Colin Allred, for her many years of outstanding service and bringing voting awareness to the Asian community.
 
 Don't DELAY! Buy your ticket today!",,,,"Charles W. Eisemann Center for Performing Arts - Richardson, TX",14:00:00,5,2018-08-19T14:00:00-0500,https://www.facebook.com/events/650891115268738/,DFW Voters Rally: Asian-American Power to the Polls,https://www.facebook.com/ColinAllredTX/,8/19/2018
,,,sb,cj,,,Candidate Fundraiser,"This is a candidate fundraiser sponsored by the Committee to Elect Robert Kennedy, Jr. The event will be held at the MCDEC HQ @ The Grind",,,,"The GRIND - Mobile, AL",18:00:00,5,2018-08-23T18:00:00-0500,https://www.facebook.com/events/240408206793679/,Candidate Fundraiser,https://www.facebook.com/Kennedy4Alabama/,8/23/2018
,,,sb,,,,End of Summer Celebration!,"Volunteers, donors, supporters, and #TeamTritch members of all ages: join us on August 23 from 5:30 to 7:00 pm at Foster Park (Pavilion 1) for the Tritch for Congress “End of Summer Celebration!” 
 
 You can enjoy live music from the immensely talented Jess Thrower, purchase some delicious grub from King Arthur’s food truck, and join us in celebrating how far we’ve come over the last year. 
 
 You’ll also hear from Courtney and learn exactly what YOU can do to help #FlipIN03 this November. Although donations of all sizes are always welcome, there is no charge for this event. More than anything, we want to take the time to THANK YOU for all of your hard work and support. We look forward to celebrating with you!",,,,"Foster Park - Fort Wayne, IN",17:30:00,4,2018-08-23T17:30:00-0400,https://www.facebook.com/events/489768951455813/,End of Summer Celebration!,https://www.facebook.com/CourtneyTritchForCongress/,8/23/2018
,,,sb,cj,,,Join Dan in Winona!,"Join host committee Robert Youngerman, Beth Forsythe, Jenna Chernega, Rill Reuter, Kendall Larson, Ruth & Jim Forsythe, and Ann-Marie & Alan Dunbar
 
 For a fundraiser reception in the honor of DFL-endorsed Congressional candidate Dan Feehan
 
 Thursday, August 23rd
 6:00pm - 8:00pm
 At the Dunbar Home
 275 West Broadway St, Winona, MN, 55987
 
 To RSVP or join the host committee, please contact Maggiy at maggiy@danfeehan.com
 
 We hope to see you there!",,,,"275 W Broadway St, Winona, MN 55987-5213, United States -",18:00:00,5,2018-08-23T18:00:00-0500,https://www.facebook.com/events/207476629921750/,Join Dan in Winona!,https://www.facebook.com/danfeehanforcongress/,8/23/2018
sb,cj,,,,,,Bill Quirk's Summer Fundraiser,"Join Assembly Member Bill Quirk for his Summer Fundraiser!
 
 Ticket is $100 or Join Our Host Committee:
 $8,800 $4,400 $2,500 $1,000 $500 $250
 
 To RSVP email Quirk4AD20@gmail.com or call 510-856-7977
 
 Please make check payable to: Bill Quirk for Assembly 2018
 FPPC #1392630
 1787 Tribute Road, Suite K
 Sacramento, CA 95815
 
 For online contributions, please visit: https://secure.actblue.com/donate/quirk18
 
 Contributions to Bill Quirk for Assembly 2018 are not tax deductible. The California Political Reform Act (Prop. 34) places limits on contributions for state office. An individual over 18, union, political action committee, association, committee partnership, business or corporation may contribute a maximum of $4,400 per election. A registered Small Contributor Committee may contribute a maximum of $8,800 per election. Money orders or cashier checks are prohibited for cash contributions of $100 or more. Computer generated for electronic transmission. Labor donated.
 
 Paid for by Bill Quirk for Assembly 2018
 FPPC #1392630",,,,Neumanali Restaurant -,17:30:00,7,2018-08-24T17:30:00-0700,https://www.facebook.com/events/265935363965082/,Bill Quirk's Summer Fundraiser,https://www.facebook.com/KevinDeLeonKDL/,8/24/2018
,,,sb,cj,,,Keep CD-2 Red Fundraiser Supporting Dan Crenshaw,"Click here to download the invitation: https://drive.google.com/file/d/1E0Rj8ZA8fs_ErfOU4pUFmAtDwOmHbtp-/view
 
 Register and donate online: https://secure.anedot.com/crenshaw/tinroofbbq
 
 RSVP: Sydney Eubanks Sydney@CrenshawForCongress.com or 832-834-3128",,,,"Tin Roof BBQ - Atascocita, TX",14:00:00,5,2018-08-25T14:00:00-0500,https://www.facebook.com/events/299398880606122/,Keep CD-2 Red Fundraiser Supporting Dan Crenshaw,https://www.facebook.com/CrenshawforCongress/,8/25/2018
sb,ykh,,EG,,,,Support Dave Loebsack in Muscatine!,"Please join our hosts in supporting Dave Loebsack for Congress: Henry & Sharon Marquand, Stephen & Melissa Goldman, Thomas and Cynthia Kautz, Valia Dentino, Mayor Diana L. Broderson, Councilman Osmond Malcolm, Philip Wiese
 
 The Home of Henry & Sharon Marquard
 108 Eagle Watch Road
 Muscatine, IA 52761
 
 
 Dave is in his sixth term representing Iowa's 2nd district. He is Iowa's only federally-elected Democrat and one of 12 Democrats to represent a seat won by Donald Trump in 2016. National Republican groups have pledged to ""viciously attack"" his campaign so we need your support!
 
 Please RSVP to Riley, 319-804-9218 or 
 by email at Riley@loebsackforcongress.org",,,,"108 Eagle Watch Rd, Muscatine, IA 52761-5381, United States -",14:00:00,5,2018-08-25T14:00:00-0500,https://www.facebook.com/events/240377423467135/,Support Dave Loebsack in Muscatine!,https://www.facebook.com/LoebsackforCongress/,8/25/2018
,,,sb,ykh,cj,Delete,Join Team Carper at the August Quarterly Festival,"Join Team Carper at the oldest African American festival in the nation! Since 1814, the August Quarterly Festival has showcased music, community displays, crafts and much more right here in Delaware. We look forward to seeing you there!",,,,"815 Justison St, Wilmington, DE 19801-5151, United States -",13:00:00,4,2018-08-26T13:00:00-0400,https://www.facebook.com/events/237320043771120/,Join Team Carper at the August Quarterly Festival,https://www.facebook.com/TomCarperforDE/,8/26/2018
,,,sb,cj,,,Candidate Fundraiser,"This is a candidate fundraiser sponsored by the Committee to Elect Robert Kennedy, Jr for U.S. Congress",,,,"Dogwood Productions, Inc. - Mobile, AL",18:00:00,5,2018-09-06T18:00:00-0500,https://www.facebook.com/events/316625432212936/,Candidate Fundraiser,https://www.facebook.com/Kennedy4Alabama/,9/6/2018
ykh,,,sb,cj,,,Southern AZ Democratic Campaign Kickoff,"Arizona is on the verge of electing Democrats at all levels. After the primary election, we will need to re-energize and re-focus on electing Democrats this November and rally behind progressive initiatives that are on the ballot. This will be a chance for candidates, initiative supporters, and Democrats to come together to kickoff our efforts to get-out-the-vote in Southern Arizona.
 
 RSVP REQUESTED: https://www.eventbrite.com/e/southern-arizona-democratic-campaign-kickoff-tickets-48357311019?aff=ehomecard
 
 You can also email Vi@standwithraul.com or call (520) 629-0050.",,,,"El Casino Ballroom - Tucson, AZ",16:00:00,7,2018-09-09T16:00:00-0700,https://www.facebook.com/events/2146888282213230/,Southern AZ Democratic Campaign Kickoff,https://www.facebook.com/GrijalvaForCongress/,9/9/2018
